from to amstar_level
A736 RW165 "low quality"
A170 RW166 "moderate quality"
A329 RW166 "moderate quality"
A551 RW166 "moderate quality"
A711 RW166 "moderate quality"
A735 RW166 "moderate quality"
A736 RW166 "moderate quality"
A46 RW167 "moderate quality"
A512 RW167 "moderate quality"
A575 RW167 "moderate quality"
A170 RW168 "moderate quality"
A328 RW168 "moderate quality"
A551 RW168 "moderate quality"
A711 RW168 "moderate quality"
A735 RW168 "moderate quality"
A736 RW168 "moderate quality"
A318 RW169 "moderate quality"
A48 RW169 "moderate quality"
A221 RW17 "low quality"
A361 RW17 "low quality"
A394 RW17 "low quality"
A679 RW17 "low quality"
A685 RW17 "low quality"
A697 RW17 "low quality"
A705 RW17 "low quality"
A709 RW17 "low quality"
A712 RW17 "low quality"
A90 RW17 "low quality"
A105 RW170 "low quality"
A204 RW170 "low quality"
A578 RW170 "low quality"
A631 RW170 "low quality"
A521 RW171 "moderate quality"
A529 RW171 "moderate quality"
A561 RW171 "moderate quality"
A615 RW171 "moderate quality"
A661 RW171 "moderate quality"
A300 RW173 "high quality"
A616 RW173 "high quality"
A739 RW173 "high quality"
A235 RW175 "high quality"
A24 RW175 "high quality"
A25 RW175 "high quality"
A143 RW176 "moderate quality"
A361 RW176 "moderate quality"
A394 RW176 "moderate quality"
A679 RW176 "moderate quality"
A709 RW176 "moderate quality"
A235 RW177 "moderate quality"
A24 RW177 "moderate quality"
A25 RW177 "moderate quality"
A13 RW178 "moderate quality"
A14 RW178 "moderate quality"
A229 RW178 "moderate quality"
A344 RW178 "moderate quality"
A648 RW178 "moderate quality"
A136 RW179 "low quality"
A241 RW179 "low quality"
A282 RW179 "low quality"
A539 RW179 "low quality"
A622 RW179 "low quality"
A193 RW18 "moderate quality"
A268 RW18 "moderate quality"
A669 RW18 "moderate quality"
A683 RW18 "moderate quality"
A93 RW18 "moderate quality"
A133 RW180 "low quality"
A175 RW180 "low quality"
A226 RW180 "low quality"
A525 RW180 "low quality"
A7 RW180 "low quality"
A235 RW181 "moderate quality"
A24 RW181 "moderate quality"
A25 RW181 "moderate quality"
A370 RW181 "moderate quality"
A216 RW182 "low quality"
A27 RW182 "low quality"
A456 RW182 "low quality"
A587 RW182 "low quality"
A235 RW185 "moderate quality"
A24 RW185 "moderate quality"
A25 RW185 "moderate quality"
A230 RW186 "moderate quality"
A352 RW186 "moderate quality"
A362 RW186 "moderate quality"
A190 RW187 "low quality"
A384 RW187 "low quality"
A48 RW187 "low quality"
A527 RW187 "low quality"
A113 RW188 "moderate quality"
A216 RW188 "moderate quality"
A27 RW188 "moderate quality"
A608 RW188 "moderate quality"
A70 RW188 "moderate quality"
A166 RW189 "moderate quality"
A263 RW189 "moderate quality"
A410 RW189 "moderate quality"
A560 RW189 "moderate quality"
A221 RW19 "high quality"
A361 RW19 "high quality"
